
 ============================>     TALLY 1     <============================

 Mesh Index (1, 1, 1)
   Incoming Energy [0.0, 6.25000E-06)
       Y3,-1 Total Reaction Rate Moment     -2.99488E-06   +/- 1.49107E-05
       Y3,0 Total Reaction Rate Moment      -8.76309E-04   +/- 1.61489E-06
       Y3,1 Total Reaction Rate Moment      1.71864E-05    +/- 1.50363E-05
       Y3,2 Total Reaction Rate Moment      7.21888E-07    +/- 2.05139E-06
       Y3,3 Total Reaction Rate Moment      2.61273E-05    +/- 1.66854E-05
 Mesh Index (1, 1, 3)
   Incoming Energy [0.0, 6.25000E-06)
     Total Material
       Y0,0 Flux Moment                     0.248787       +/- 5.55911E-05
       Y1,-1 Flux Moment                    1.98395E-06    +/- 1.83487E-05
       Y1,0 Flux Moment                     -2.78499E-03   +/- 1.01460E-06
       Y1,1 Flux Moment                     8.10384E-06    +/- 1.83953E-05
       Y2,-2 Flux Moment                    -6.54920E-06   +/- 1.42788E-05
       Y2,-1 Flux Moment                    -8.68490E-07   +/- 2.46328E-06
       Y2,0 Flux Moment                     5.38691E-03    +/- 1.34739E-05
       Y2,1 Flux Moment                     4.50659E-07    +/- 2.48194E-06
       Y2,2 Flux Moment                     -4.12341E-06   +/- 1.45258E-05
       Y3,-3 Flux Moment                    -6.19862E-06   +/- 1.23627E-05
       Y3,-2 Flux Moment                    -3.03604E-06   +/- 2.44774E-06
       Y3,-1 Flux Moment                    -6.06176E-06   +/- 1.09829E-05
       Y3,0 Flux Moment                     1.29639E-03    +/- 1.97633E-06
       Y3,1 Flux Moment                     -1.21660E-05   +/- 1.10038E-05
       Y3,2 Flux Moment                     -1.92599E-06   +/- 2.44202E-06
       Y3,3 Flux Moment                     1.55334E-05    +/- 1.25340E-05
       Y0,0 Total Reaction Rate Moment      0.124249       +/- 2.78040E-05
       Y1,-1 Total Reaction Rate Moment     -4.03470E-07   +/- 9.03491E-06
       Y1,0 Total Reaction Rate Moment      -1.69948E-03   +/- 6.60899E-07
       Y1,1 Total Reaction Rate Moment      4.01359E-06    +/- 9.04792E-06
       Y2,-2 Total Reaction Rate Moment     -4.34887E-06   +/- 7.01387E-06
       Y2,-1 Total Reaction Rate Moment     -1.68784E-07   +/- 1.31660E-06
       Y2,0 Total Reaction Rate Moment      3.26217E-03    +/- 6.65318E-06
       Y2,1 Total Reaction Rate Moment      -6.17744E-08   +/- 1.33298E-06
       Y2,2 Total Reaction Rate Moment      -1.72204E-06   +/- 7.14529E-06
       Y3,-3 Total Reaction Rate Moment     -2.24287E-06   +/- 6.07786E-06
       Y3,-2 Total Reaction Rate Moment     -1.51795E-06   +/- 1.29556E-06
       Y3,-1 Total Reaction Rate Moment     -2.83962E-06   +/- 5.41203E-06
       Y3,0 Total Reaction Rate Moment      7.60526E-04    +/- 1.06927E-06
       Y3,1 Total Reaction Rate Moment      -6.79418E-06   +/- 5.42985E-06
       Y3,2 Total Reaction Rate Moment      -6.58041E-07   +/- 1.29428E-06
       Y3,3 Total Reaction Rate Moment      7.75913E-06    +/- 6.16813E-06
   Incoming Energy [6.25000E-06, 1.01200E-04)
     Total Material
       Y0,0 Flux Moment                     0.226635       +/- 4.12819E-05
       Y1,-1 Flux Moment                    4.51699E-05    +/- 1.80407E-05
       Y1,0 Flux Moment                     -1.95905E-03   +/- 9.36748E-07
       Y1,1 Flux Moment                     1.65318E-06    +/- 1.77142E-05
       Y2,-2 Flux Moment                    -9.25271E-06   +/- 1.39228E-05
       Y2,-1 Flux Moment                    2.81109E-06    +/- 2.37318E-06
       Y2,0 Flux Moment                     3.25399E-03    +/- 1.30728E-05
       Y2,1 Flux Moment                     -3.08630E-06   +/- 2.37307E-06
